2026-09-09 22:58:22 | INFO     | organizer            | ==============================================================
2026-09-09 22:58:22 | INFO     | organizer            | RUN STARTED   source=demo_files  destination=organized
2026-09-09 22:58:22 | DEBUG    | organizer.main       | Categories known: Images: 8, Text: 4, Documents: 6, Data: 8, Audio: 5, Video: 5, Archives: 5, Code: 8
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Skipping sub-folder subfolder
2026-09-09 22:58:22 | INFO     | organizer.detector   | Scanned demo_files - 18 file(s), 1 sub-folder(s)
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for .editorconfig
2026-09-09 22:58:22 | WARNING  | organizer.main       | SKIPPED     .editorconfig : Unsupported file type (no extension)
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for README
2026-09-09 22:58:22 | WARNING  | organizer.main       | SKIPPED     README : Unsupported file type (no extension)
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for backup.zip
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | backup.zip -> Archives (.zip)
2026-09-09 22:58:22 | WARNING  | organizer.mover      | Created destination folder: Archives
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: backup.zip -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Archives\backup.zip
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  backup.zip -> Archives/backup.zip
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for beep.wav
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | beep.wav -> Audio (.wav)
2026-09-09 22:58:22 | WARNING  | organizer.mover      | Created destination folder: Audio
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: beep.wav -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Audio\beep.wav
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  beep.wav -> Audio/beep.wav
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for config.json
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | config.json -> Data (.json)
2026-09-09 22:58:22 | WARNING  | organizer.mover      | Created destination folder: Data
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: config.json -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Data\config.json
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  config.json -> Data/config.json
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for data.csv
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | data.csv -> Data (.csv)
2026-09-09 22:58:22 | DEBUG    | organizer.mover      | shutil.move done: data.csv -> C:\Users\asus\Desktop\work\6-month-fde-challenge\01_python_basics\25_file_organizer\organized\Data\data.csv
2026-09-09 22:58:22 | INFO     | organizer.main       | MOVED  data.csv -> Data/data.csv
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | Detecting category for debug.log
2026-09-09 22:58:22 | DEBUG    | organizer.detector   | debug.log -> Text (.log)
